Name,intact,elevdiv,fwvelref,bwvelref,brdref,treref,treec,soilc
1,0.9995,293.3648,0.3983,0.5488,0.328,0.0267,0.4234,186.1039
2,0.9091,172.2828,1.4613,1.1147,0.3071,0.129,5.4423,40.4372
3,0.7021,199.4827,1.7824,1.0082,0.3775,0.3142,29.1666,67.2536
4,0.7533,164.2232,1.9043,1.535,0.2969,0.0553,3.1093,49.9185
5,0.781,330.711,2.0839,1.9933,0.2812,0.0827,41.8167,102.0652
6,0.6067,211.252,2.3322,1.0452,NA,NA,25.909,72.9141
7,0.6006,79.3532,1.7886,0.987,0.2022,0.1693,64.763,158.337
8,0.9989,71.9677,0.6707,0.674,0.1862,0.0293,2.2733,423.8628
9,0.9984,72.4476,1.0256,0.8759,0.1865,0.0606,28.5343,373.278
10,0.9991,13.1358,0.8909,0.8025,0.1463,0.0674,22.1089,785.0976
11,0.937,45.2767,1.0792,0.9008,0.1778,0.1185,65.9375,207.5788
12,0.9592,297.716,1.3552,1.2995,0.3198,0.1798,77.4577,136.3737
13,0.9479,320.0346,1.8798,1.0966,0.3521,0.2187,101.1674,250.0863
14,0.6206,36.5642,1.353,0.9216,0.2252,0.229,73.3776,78.3127
15,0.6734,38.7941,1.2507,0.9573,0.2138,0.1093,5.6376,67.6902
16,0.8335,80.5926,1.915,1.1947,0.1842,0.1419,15.9595,38.8193
